"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III","T.Score","T.Rank"
"jazmu",129.227,114,"","X","","","","","X","","","X","","","X","","","","X","","","X","","","","","","","","X","","","","","","","","","X","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","X",1337,140
"uiopuipo",129.014,115,"","X","","","","","","X","","","X","","X","","","","","","","X","","","","","","X","","","","","","","","","","X","","","X","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","","",1804,77
"simm",128.208,116,"","X","","","","","X","","","","","X","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","X","","X","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","X",1661,90
"papilio",127.772,117,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","X","","","","","",421,454
"trog",127.4,118,"X","","","","","","","","","X","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","",381,483
"vajrapani",125.808,119,"","X","","","","","","X","","X","","","X","","","","","","","X","","","X","","X","","","","","","X","","","","","","","","X","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","",1547,105
"magipi",124.99,120,"","","X","X","","","X","","","X","","","X","","","","X","","","X","","","","","","","","X","","","X","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","X",1710,84
"kccg005",123.602,121,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","X","","","","","","","","","","","","","X","","X","","X","","",1137,184
"thenoid",123.356,122,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","X","","","","X","","","","X",2060,64
"ragingrage",122.503,123,"","","X","X","","","","X","","","X","","X","","","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","","","X",1764,81
"erikthered",122.28,124,"X","","","","","","","","","","","","X","","","X","","","X","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","",650,339
"backslashecho",121.38,125,"","","X","X","","","X","","","","X","","X","","","","X","","","X","","","","","X","","","X","","","","","","","","","","X","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","X","",1609,98
"brujo666",120.415,126,"","","X","X","","","X","","","X","","","X","","","","X","","","X","","","","","X","","","","","","","","","","","","","X","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X",1363,134
"gordonoverkill",120.302,127,"","","X","X","","","X","","","X","","","X","","","","X","","","X","","","","","","X","","","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",2181,56
"agentgt",119.335,128,"","X","","X","","","X","","","X","","","","X","","","X","","","X","","","X","","X","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","X","","",1511,108
"amaterasu",119.173,129,"","X","","X","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","","","","","","","","X","","","","","","X","","X","","","","","","X","","","","X","","","","","X","","","","","","","X","","","X","","X","","",1333,142
"findleman",118.578,130,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","","","","X","","","","","","","","X","","","","X","","","","","","X","","","","","","X","","","X","","","","","",553,382
"irqconflict",118.175,131,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","X","","X","","","X","","","","","","","X","","X","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","",959,217
"sleeves",117.621,132,"","X","","","","","","X","","X","","","","X","","","","","","X","","","","","","","X","X","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","",2315,51
"svendre",116.251,133,"","X","","X","","","X","","","","","X","X","","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","X","",1259,155
"defenestrate",115.277,134,"X","","","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",620,355
"lansh",113.708,135,"","X","","","","","X","","","X","","","","X","","","","","","X","","X","","","","","","","","","X","","","","","X","","","","","X","","","X","","","","","","","","X","","","","","","X","","","","","","X","","","","X","","X","","",1479,111
"melvinkitnick",112.938,136,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","X","","","","X","","X","","","","X","","","","","X","","","","","","X","","","X","","","","","",941,221
"keipra",112.131,137,"","","X","X","","","","X","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",1780,80
"bohadi",110.78,138,"","X","","","","","X","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","X","","X","","","","X",925,228
"mukku",110.608,139,"","X","","","","","","X","","X","","","X","","","X","","","","X","","","","","","X","","","","","X","","","","","","","","X","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",1673,88
"mooon",110.245,140,"","X","","","","","","X","","X","","","","X","","X","","","","X","","X","","","X","","","","","","","","","","","","","","X","","X","","","","","","","","X","","","X","","","","","","","","","","","","","X","","X","","","","","",1831,75
"ranchugoldfish",108.377,141,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","","","","X","","","","","","","","X","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","X","","",2302,52
"thereisnogod",108.154,142,"","X","","X","","","X","","","X","","","","X","","","X","","","X","","","","","X","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","X","","",749,296
"alphazook",106.41,143,"","X","","","","","","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","","","X",1407,125
"irum",104.997,144,"","X","","X","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","X","","X","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","X",1467,114
"estick",104.926,145,"","X","","","","","","","","","X","","X","","","","X","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","X",1386,130
"mandarbmax",103.481,146,"","X","","","","","X","","","X","","","","X","","","","","","X","","","X","","X","","","","","","X","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",708,316
"emikaela",103.466,147,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","","","","","","X","","X","","","","","","","","X","","","X","","","","","","","","","","","","","X","","","X","","","","X",1656,92
"insane59",102.786,148,"","","X","X","","","X","","","","","","","X","","","X","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",1579,103
"atomheart",102.709,149,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","X","","","","X","","","","","","X","","","X","","","X","","",637,348
"manul",102.483,150,"","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","","X","","","","","","","","","","","",150,867
"rogsnak",101.907,151,"","X","","X","","","","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","X","","","X","","","","X","",1267,154
"zhorgal",100.907,152,"","","X","X","","","X","","","","X","","X","","","","X","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","X",1323,147
"hubbles",100.607,153,"X","","","","","","X","","","X","","","X","","","","","","","X","","","X","","X","","","","","","X","","","","","X","X","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","","","","X","","","","","",935,225
"dying5ever",98.039,154,"","X","","","","","","","X","X","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","X","","","","","","","","","","","","","","","X","","","X","","","","","",2421,44
"arkorax",97.611,155,"","X","","","","","X","","","X","","","","X","","","","","","X","","","","","","","","","","","X","","","","","X","","","","","","X","","","","X","","","X","","","X","","","","","","X","","","","","","","","","X","","","","","",1176,171
"tab",97.388,156,"","X","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","X","","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","","","",1191,169
"nmf",95.027,157,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","X",786,278
"armakuni",94.951,158,"X","","","","","","X","","","","X","","X","","","X","","","","X","","","","","X","","","","","","","","","","X","","X","","","","","X","X","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",1355,136
"willcat",94.757,159,"X","","","","","","X","","","","X","","X","","","","","","","X","","","X","","","","","","","","","","","","","","","","X","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","","","",1178,170
"volgon99",94.65,160,"X","","","","","","X","","","X","","","X","","","X","","","","X","","X","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","X","","","X","","","X","","","","","",456,430
"coron",92.649,161,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","X","","","","","X","","","","","","","","","X","","","X","","","X","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",721,307
"dungeoneer27",91.278,162,"","","X","X","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","","X",1592,100
"heteroy",91.047,163,"","X","","","","","","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","X","","",394,472
"mdonais",90.579,164,"","X","","X","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","","","X","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","X","",1660,91
"slowgraham",89.99,165,"","X","","","","","","X","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","X","","X","","",1491,110
"haileris",89.286,166,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","X","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","","","",530,390
"removed",87.954,167,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","","","","X","","","","","","","","X","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",1456,117
