"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"Sporophyte",177.344,110,"","X","","X","","","","X","","X","","","","X","","X","","","","X","","X","","","","X","","X","","","","","","","","","X","","","","X","","","","X","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","X","",""
"Likado",176.396,111,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","","","","X","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"radinms",176.049,112,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","X","","","X","","","","","","X","","","","","","","","X","X","","","X","",""
"zkyp",174.8,113,"","X","","X","","","","X","","","X","","","X","","X","","","","X","","","","","","","X","X","","","","","","","","X","","","X","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","","X","","","X"
"AlStar",171.394,114,"","X","","","","","X","","","X","","","","X","","X","","","","X","","X","","","X","","","X","","","X","","","","","","","X","","","X","","X","","","X","","","X","","","X","","","","","","X","","","","X","","X","","","X","","","X","",""
"Beholder179",170.566,115,"","","X","","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","","","","","X","","X","","","","","X","","","X","","","","","X","","","","","","","","","","","X","","","X","","","","X"
"Baz",170.318,116,"","X","","X","","","X","","","","X","","X","","","","X","","","X","","","","X","X","","","","","","","","","","X","","X","","","","X","","X","","","X","","","","","","","","X","","","","X","","","","","","X","","","","X","","","X",""
"platinum",169.854,117,"","","X","","","","","X","","","","X","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"Dominolapin",169.667,118,"","X","","X","","","X","","","X","","","","X","","X","","","","X","","","","X","","X","","","","","","","","","","X","X","","","","","X","","X","","","","","X","","","","X","","","","","X","","","","","","X","","","","X","","X","",""
"cliffracer",168.313,119,"","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","X","","","","","X","","","","X","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X"
"Liimbo",167.326,120,"","","X","","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","X","","","","","","","X","","X","","","","X","","","","","","","","","","","","X","","","","","X","","","","","","","","X","","X","","","","X"
"Dynast",167.168,121,"","X","","X","","","","X","","","X","","X","","","","X","","","X","","X","","","","","X","","","","","","","","","","","","X","","X","","","X","","","","","X","","","","","X","","","","","","","","","","X","","","","X","","","",""
"loopi",166.506,122,"","X","","","","","X","","","","","","","X","","X","","","","X","","","","","","X","","X","","","","","","X","","","","X","","","X","","X","","","X","","","X","","","X","","","","X","","X","","","","","","X","","","","X","","","",""
"puimuR",166.038,123,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","X","","","","","","","X","","","","X","","","X","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","X","","","","X"
"Chobophobe",163.799,124,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","X","","","X","","","X","","","","","X","","","X","","","X","","","","","","X","","","","X","","","X","","","X","","","","X"
"Shadowablaze",161.846,125,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","X","","","X","","","","","","","","","","X","","","X","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"FlamingLnfernal",161.121,126,"","X","","X","","","X","","","","","","","X","","X","","","","X","","","","X","X","","","X","","","X","","","","","X","","","","","","X","X","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","X","",""
"epdtry",161.007,127,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","","","","","","X","","","","X","","","X","","","X","","","","X","","","","X"
"case",160.175,128,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","X","","X","","","","","X","X","","","","","","","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"Volgon99",159.747,129,"","X","","X","","","X","","","X","","","X","","","X","","","","X","","X","","","X","","","X","","","X","","","X","","","X","","","","","X","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","","X","","","X",""
"nkym",159.408,130,"","","X","X","","","X","","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","X","","","","","","","","","","","","","X","","","","X","","","X"
"TheNoid",159.211,131,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","X","","","","X","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","X","","","","X","","","X"
"glaas",159.117,132,"","X","","X","","","","X","","","","","","X","","X","","","","X","","","","","","","X","X","","","","","","","","","","","X","","X","","","","","","","","","X","","X","","","","","","","","","","","","X","","","","X","","","",""
"fearitself",155.996,133,"","X","","X","","","","X","","","X","","","X","","X","","","","X","","","","","","X","","X","","","X","","","","","","","X","","","","X","","X","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","","X"
"esper6",155.975,134,"","X","","","","","X","","","","","X","","X","","","X","","","X","","","","","","X","","X","","","X","","","","","","X","","","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","X",""
"hyperlasty",155.709,135,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","X","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"Rubinko",154.368,136,"","","X","","","","","","","","","","","","X","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"rwhughston",152.37,137,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","X","","X","","","","","","","","","","X","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","X","","X","","","","X","","","X",""
"sage1234",152.321,138,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","X","","","","X","","","","","","","","X","","","X","","","X","","","","","","","","","X","","","","","X","","","X"
"holmedog",151.956,139,"","X","","","","","X","","","","","","","X","","X","","","","X","","","","","X","","","X","","","","","","","X","","","","","","X","","X","","","X","","","X","","","X","","","","","","X","","","","X","","","X","","","X","","X","",""
"Hieropants",151.018,140,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","X","X","","","X","","","X","","","","","","","","","","X","","X","","","X","","","X","","","X","","","","","","","","","","","","","X","","","X","","","","X"
"PeterMcNeter",150.976,141,"X","","","X","","","","X","","","","","","X","","X","","","","X","","X","","","X","","","","","","X","","","","","","","","","","X","","X","","","X","","","","X","","X","","","","","","X","","","","","","X","","","","X","","","",""
"rast",148.684,142,"","X","","X","","","","","X","","X","","","X","","X","","","","X","","","","","","","X","X","","","","","","","","","","","X","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","",""
"KlownO",146.647,143,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","X","","X","","","X","","","X","","","X","","","","",""
"SillyWilly",145.442,144,"","X","","","","","X","","","","","","","X","","","","","X","","","","X","","X","","","X","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","","","X","","","","",""
"jjjjhere",144.997,145,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","","","","X","","","","","X","","","","","X","","","X","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"gammafunk",143.756,146,"","X","","X","","","","","X","X","","","","X","","","X","","","X","","","","","","","","","","","","","","","","X","","","","","","X","X","","","","","","X","","","","","","","","","X","","","","","","X","","","X","","","","","X"
"Turgon",143.738,147,"","X","","","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","","X","","","","X","","","","","","","X","","","","","X","","","X","","","","X","","X","","","X","",""
"bookman",143.107,148,"","X","","","","","X","","","","X","","","X","","X","","","","X","","","","","","X","","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","X","","X","","","","X","","","",""
"Axe",140.521,149,"","X","","X","","","","X","","X","","","","X","","X","","","","X","","X","","","","X","","X","","","X","","","","X","","","","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","","X","","","X","","","X",""
"grindst0ne",138.672,150,"","","X","X","","","X","","","","","","","X","","","X","","","X","","","","","X","","","","","","","","","","X","","","","","","X","","","","","X","","","X","","","","X","","X","","","X","","","","","","","X","","","","X","","","X"
"Thalamas",136.437,151,"","","X","","","","","X","","","X","","","X","","","X","","","X","","X","","","","X","","","","","","","","","X","","","","","","X","","","X","","X","","","","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"RKaid",135.241,152,"","","X","X","","","","X","","","","","","X","","","X","","","X","","X","","","","X","","X","","","","","","","X","","X","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"Hosung",133.478,153,"","","X","X","","","X","","","","","X","X","","","","X","","","X","","","","","X","","","X","","","","","","","X","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"wormsofcant",132.984,154,"","X","","","","","","X","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","X","","X","","","","","","","","","X","","X","","","","","","","","","","","","X","","","X","","","X","",""
"Izverg",132.954,155,"X","","","","","","X","","","","","","","","","X","","","","X","","","","","","","","X","","","","","","","","","","X","","X","","","","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","",""
"Tickenest",132.636,156,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","","X","","","X","","","","","","X","","X","","","X","","","X","","","","","","X","","","X","","","","X","","","",""
"CaptBlasto",132.386,157,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","X","X","","","X","","","","","","X","","","","X","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","",""
"LegendaryFerret",131.819,158,"","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","X"
"Whaleporn",129.234,159,"","X","","","","","X","","","","X","","X","","","X","","","","X","","","","X","X","","","X","","","","","","","","","","X","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","",""
"TheDarkStar",129.213,160,"","","X","X","","","X","","","X","","","","X","","","X","","","X","","","","","X","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","X","","","","X","","","","X","","","X"
"Zwobot",127.111,161,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","","","X","X","","","X","","","","","","","X","","","","X","","X","","","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","",""
"MrPlanck",125.677,162,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","","","X","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","X",""
"SlowGraham",125.557,163,"","X","","X","","","X","","","","X","","","X","","X","","","","X","","","X","","X","","","X","","","","","","","","","X","","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","","X","","","X","","X","",""
"Monsterracer",124.438,164,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","X","X","","","X","","","","","","","","X","X","","","","X","","","","","","","","X","","","","X","","","","","X","","","","","","X","","","","X","","X","",""
"LAEvanesce",124.302,165,"","X","","","","","","X","","","X","","X","","","","","","","X","","","","","","","X","X","","","X","","","","","X","","","","","","X","","X","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"maxonian",123.398,166,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","X","","","","","","X","","","","","","","","","","","","","","X","","X","","","","X"
"Datul",122.459,167,"","X","","","","","","X","","","X","","","X","","X","","","","X","","","","","X","","","","","","X","","","","","","","X","","","X","","","X","","X","","","","","","X","","","X","","","X","","","","","","X","","","","X","","X","",""
"xgamer67",121.613,168,"","","X","X","","","X","","","X","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","X","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"coolio",120.893,169,"","","X","","","","X","","","X","","","","X","","","X","","","X","","","","","X","","","X","","","X","","","","","X","","X","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"Rrauwl",117.517,170,"","X","","X","","","X","","","X","","","","X","","X","","","","X","","X","","","X","","","","","","","","","","X","","X","","","","","X","X","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","X","","","",""
